"drug_concept_id","drug_concept_name","ancestor_concept_id","ancestor_concept_name"
44506688,"cholic acid 250 MG Oral Capsule",21600510,"BILE THERAPY"
44506689,"cholic acid 50 MG Oral Capsule",21600510,"BILE THERAPY"
46221278,"cholic acid Oral Capsule [Cholbam]",21600510,"BILE THERAPY"
46221279,"cholic acid 250 MG Oral Capsule [Cholbam]",21600510,"BILE THERAPY"
46221281,"cholic acid 50 MG Oral Capsule [Cholbam]",21600510,"BILE THERAPY"
903052,"tiopronin 100 MG Oral Tablet",21602628,"UROLOGICALS"
908577,"magnesium hydroxide 60 MG/ML / mineral oil 0.25 ML/ML Oral Suspension",21602628,"UROLOGICALS"
912362,"ammonium chloride",21602628,"UROLOGICALS"
916006,"solifenacin succinate 5 MG Oral Tablet",21602628,"UROLOGICALS"
916008,"solifenacin succinate 10 MG Oral Tablet",21602628,"UROLOGICALS"
916010,"solifenacin succinate 10 MG Oral Tablet [Vesicare]",21602628,"UROLOGICALS"
916011,"solifenacin succinate 5 MG Oral Tablet [Vesicare]",21602628,"UROLOGICALS"
916232,"24 HR darifenacin 15 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
916234,"24 HR darifenacin 7.5 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
918906,"oxybutynin",21602628,"UROLOGICALS"
924151,"pentosan polysulfate",21602628,"UROLOGICALS"
924172,"pentosan polysulfate 100 MG Oral Capsule",21602628,"UROLOGICALS"
928980,"dimethyl sulfoxide",21602628,"UROLOGICALS"
929005,"dimethyl sulfoxide 500 MG/ML Irrigation Solution",21602628,"UROLOGICALS"
933724,"phenazopyridine",21602628,"UROLOGICALS"
985331,"aluminum hydroxide 100 MG/ML / magnesium hydroxide 100 MG/ML Oral Suspension",21602628,"UROLOGICALS"
985406,"aluminum hydroxide 45 MG/ML / magnesium hydroxide 40 MG/ML Oral Suspension",21602628,"UROLOGICALS"
992956,"magnesium hydroxide",21602628,"UROLOGICALS"
993188,"aluminum hydroxide 100 MG/ML / magnesium hydroxide 90 MG/ML / simethicone 8 MG/ML Oral Suspension [Maalox Plus]",21602628,"UROLOGICALS"
993226,"aluminum hydroxide 200 MG / magnesium hydroxide 200 MG Chewable Tablet",21602628,"UROLOGICALS"
993263,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML Oral Suspension",21602628,"UROLOGICALS"
993372,"magnesium hydroxide 311 MG Chewable Tablet",21602628,"UROLOGICALS"
993593,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Comfort Gel]",21602628,"UROLOGICALS"
993600,"magnesium hydroxide 311 MG Chewable Tablet [Phillips Milk of Magnesia]",21602628,"UROLOGICALS"
993629,"magnesium hydroxide 160 MG/ML Oral Suspension [Phillips Milk of Magnesia]",21602628,"UROLOGICALS"
1146196,"solifenacin succinate 1 MG/ML Oral Suspension",21602628,"UROLOGICALS"
1146200,"solifenacin succinate 1 MG/ML Oral Suspension [Vesicare]",21602628,"UROLOGICALS"
1316262,"sildenafil",21602628,"UROLOGICALS"
1316263,"sildenafil 25 MG Oral Tablet [Viagra]",21602628,"UROLOGICALS"
1316265,"sildenafil 100 MG Oral Tablet [Viagra]",21602628,"UROLOGICALS"
1316268,"sildenafil 25 MG Oral Tablet",21602628,"UROLOGICALS"
1316269,"sildenafil 100 MG Oral Tablet",21602628,"UROLOGICALS"
1316304,"sildenafil 20 MG Oral Tablet [Revatio]",21602628,"UROLOGICALS"
1326901,"papaverine",21602628,"UROLOGICALS"
1336926,"tadalafil",21602628,"UROLOGICALS"
1336975,"tadalafil 10 MG Oral Tablet",21602628,"UROLOGICALS"
1336979,"Pulmonary Hypertension tadalafil 20 MG Oral Tablet [Adcirca]",21602628,"UROLOGICALS"
1361140,"tiopronin 100 MG Delayed Release Oral Tablet",21602628,"UROLOGICALS"
1361142,"tiopronin 100 MG Delayed Release Oral Tablet [Thiola]",21602628,"UROLOGICALS"
1361144,"tiopronin 300 MG Delayed Release Oral Tablet",21602628,"UROLOGICALS"
1361146,"tiopronin 300 MG Delayed Release Oral Tablet [Thiola]",21602628,"UROLOGICALS"
1366400,"Pulmonary Hypertension tadalafil 20 MG Oral Tablet [Alyq]",21602628,"UROLOGICALS"
1381504,"alprostadil",21602628,"UROLOGICALS"
1381562,"alprostadil 0.04 MG Injection",21602628,"UROLOGICALS"
1381564,"1 ML alprostadil 0.5 MG/ML Injection",21602628,"UROLOGICALS"
1511304,"Pulmonary Hypertension tadalafil 20 MG Oral Tablet",21602628,"UROLOGICALS"
1537585,"24 HR mirabegron 8 MG/ML Extended Release Suspension",21602628,"UROLOGICALS"
1537586,"24 HR mirabegron 8 MG/ML Extended Release Suspension [Myrbetriq]",21602628,"UROLOGICALS"
19003090,"alprostadil 0.02 MG Injection [Caverject]",21602628,"UROLOGICALS"
19003157,"magnesium hydroxide 83 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19007146,"1 ML alprostadil 0.5 MG/ML Injection [Prostin VR]",21602628,"UROLOGICALS"
19017526,"oxybutynin chloride 5 MG Oral Tablet [Contimin]",21602628,"UROLOGICALS"
19028127,"magnesium hydroxide 160 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19036781,"calcium chloride",21602628,"UROLOGICALS"
19038297,"dimethyl sulfoxide 500 MG/ML Irrigation Solution [Rimso-50]",21602628,"UROLOGICALS"
19043085,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Almacone]",21602628,"UROLOGICALS"
19043103,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Mi-Acid]",21602628,"UROLOGICALS"
19043131,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Almacone]",21602628,"UROLOGICALS"
19043177,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Maalox Plus]",21602628,"UROLOGICALS"
19043212,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Mi-Acid]",21602628,"UROLOGICALS"
19043213,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Mintox Plus]",21602628,"UROLOGICALS"
19045166,"aluminum hydroxide 45 MG/ML / magnesium hydroxide 40 MG/ML Oral Suspension [Maalox]",21602628,"UROLOGICALS"
19045303,"magnesium hydroxide 80 MG/ML Oral Suspension [Phillips Milk of Magnesia]",21602628,"UROLOGICALS"
19045932,"pentosan polysulfate 100 MG Oral Capsule [Elmiron]",21602628,"UROLOGICALS"
19056880,"papaverine hydrochloride 30 MG/ML Injectable Solution",21602628,"UROLOGICALS"
19057064,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19065567,"magnesium hydroxide 80 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19069049,"collagen",21602628,"UROLOGICALS"
19072321,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19072322,"aluminum hydroxide 200 MG / magnesium hydroxide 200 MG / simethicone 25 MG Chewable Tablet",21602628,"UROLOGICALS"
19072325,"aluminum hydroxide 45 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 5 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19072352,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 6 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19072354,"aluminum hydroxide 100 MG/ML / magnesium hydroxide 90 MG/ML / simethicone 8 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19073021,"aluminum hydroxide 120 MG/ML / magnesium hydroxide 60 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19079498,"sildenafil 50 MG Oral Tablet",21602628,"UROLOGICALS"
19080155,"magnesium hydroxide 240 MG/ML Oral Suspension",21602628,"UROLOGICALS"
19080800,"phenazopyridine 100 MG Delayed Release Oral Tablet",21602628,"UROLOGICALS"
19102192,"tadalafil 20 MG Oral Tablet",21602628,"UROLOGICALS"
19102204,"tadalafil 10 MG Oral Tablet [Cialis]",21602628,"UROLOGICALS"
19102205,"tadalafil 20 MG Oral Tablet [Cialis]",21602628,"UROLOGICALS"
19102455,"84 HR oxybutynin 0.162 MG/HR Transdermal System",21602628,"UROLOGICALS"
19102546,"tadalafil 5 MG Oral Tablet",21602628,"UROLOGICALS"
19102643,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Maalox Max]",21602628,"UROLOGICALS"
19102759,"84 HR oxybutynin 0.162 MG/HR Transdermal System [Oxytrol]",21602628,"UROLOGICALS"
19102830,"aluminum hydroxide 45 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 5 MG/ML Oral Suspension [Maalox Plus]",21602628,"UROLOGICALS"
19102899,"tadalafil 5 MG Oral Tablet [Cialis]",21602628,"UROLOGICALS"
19114110,"24 HR darifenacin 15 MG Extended Release Oral Tablet [Enablex]",21602628,"UROLOGICALS"
19114114,"24 HR darifenacin 7.5 MG Extended Release Oral Tablet [Enablex]",21602628,"UROLOGICALS"
19121181,"sildenafil 20 MG",21602628,"UROLOGICALS"
19121182,"sildenafil 20 MG Oral Tablet",21602628,"UROLOGICALS"
19126840,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Mintox Plus]",21602628,"UROLOGICALS"
19129175,"tadalafil 2.5 MG Oral Tablet",21602628,"UROLOGICALS"
19129390,"tadalafil 2.5 MG Oral Tablet [Cialis]",21602628,"UROLOGICALS"
19129576,"0.5 ML alprostadil 0.04 MG/ML Prefilled Syringe [Caverject]",21602628,"UROLOGICALS"
19129711,"magnesium hydroxide 400 MG Chewable Tablet",21602628,"UROLOGICALS"
19132866,"24 HR fesoterodine fumarate 4 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
19132868,"24 HR fesoterodine fumarate 4 MG Extended Release Oral Tablet [Toviaz]",21602628,"UROLOGICALS"
19132870,"24 HR fesoterodine fumarate 8 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
19132872,"24 HR fesoterodine fumarate 8 MG Extended Release Oral Tablet [Toviaz]",21602628,"UROLOGICALS"
37498825,"magnesium hydroxide 1200 MG Chewable Tablet",21602628,"UROLOGICALS"
37498832,"magnesium hydroxide 1200 MG Chewable Tablet [Dulcolax Soft Chews]",21602628,"UROLOGICALS"
40007814,"aluminum hydroxide / magnesium hydroxide Oral Tablet [Maalox]",21602628,"UROLOGICALS"
40061973,"magnesium hydroxide Oral Suspension",21602628,"UROLOGICALS"
40061977,"magnesium hydroxide Oral Tablet",21602628,"UROLOGICALS"
40069853,"phenazopyridine Oral Tablet",21602628,"UROLOGICALS"
40099111,"tolterodine Oral Tablet [Detrol]",21602628,"UROLOGICALS"
40100616,"sildenafil Oral Tablet",21602628,"UROLOGICALS"
40102137,"tadalafil Oral Tablet",21602628,"UROLOGICALS"
40102138,"tadalafil Oral Tablet [Cialis]",21602628,"UROLOGICALS"
40102617,"oxybutynin Oral Tablet",21602628,"UROLOGICALS"
40102620,"oxybutynin Oral Tablet [Ditropan]",21602628,"UROLOGICALS"
40127552,"sildenafil Oral Tablet [Revatio]",21602628,"UROLOGICALS"
40160920,"tadalafil Oral Tablet [Adcirca]",21602628,"UROLOGICALS"
40162449,"24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule",21602628,"UROLOGICALS"
40162450,"24 HR tolterodine tartrate 2 MG Extended Release Oral Capsule [Detrol]",21602628,"UROLOGICALS"
40162451,"24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule",21602628,"UROLOGICALS"
40162452,"24 HR tolterodine tartrate 4 MG Extended Release Oral Capsule [Detrol]",21602628,"UROLOGICALS"
40162453,"24 HR trospium chloride 60 MG Extended Release Oral Capsule",21602628,"UROLOGICALS"
40162454,"24 HR trospium chloride 60 MG Extended Release Oral Capsule [Sanctura]",21602628,"UROLOGICALS"
40163783,"tolterodine tartrate 1 MG Oral Tablet",21602628,"UROLOGICALS"
40163784,"tolterodine tartrate 1 MG Oral Tablet [Detrol]",21602628,"UROLOGICALS"
40163789,"tolterodine tartrate 2 MG Oral Tablet",21602628,"UROLOGICALS"
40163790,"tolterodine tartrate 2 MG Oral Tablet [Detrol]",21602628,"UROLOGICALS"
40163799,"trospium chloride 20 MG Oral Tablet",21602628,"UROLOGICALS"
40163800,"trospium chloride 20 MG Oral Tablet [Sanctura]",21602628,"UROLOGICALS"
40166131,"24 HR oxybutynin chloride 10 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166132,"24 HR oxybutynin chloride 10 MG Extended Release Oral Tablet [Ditropan]",21602628,"UROLOGICALS"
40166133,"24 HR oxybutynin chloride 15 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166134,"24 HR oxybutynin chloride 15 MG Extended Release Oral Tablet [Ditropan]",21602628,"UROLOGICALS"
40166135,"24 HR oxybutynin chloride 5 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166136,"24 HR oxybutynin chloride 5 MG Extended Release Oral Tablet [Ditropan]",21602628,"UROLOGICALS"
40166423,"oxybutynin chloride 0.1 MG/MG Topical Gel",21602628,"UROLOGICALS"
40166424,"oxybutynin chloride 0.1 MG/MG Topical Gel [Gelnique]",21602628,"UROLOGICALS"
40166429,"oxybutynin chloride 1 MG/ML Oral Solution",21602628,"UROLOGICALS"
40166430,"oxybutynin chloride 1 MG/ML Oral Solution [Ditropan]",21602628,"UROLOGICALS"
40166434,"oxybutynin chloride 10 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166438,"oxybutynin chloride 15 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166446,"oxybutynin chloride 5 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
40166448,"oxybutynin chloride 5 MG Oral Tablet",21602628,"UROLOGICALS"
40166449,"oxybutynin chloride 5 MG Oral Tablet [Ditropan]",21602628,"UROLOGICALS"
40229173,"aluminum hydroxide 80 MG/ML / magnesium hydroxide 80 MG/ML / simethicone 8 MG/ML Oral Suspension [Milantex]",21602628,"UROLOGICALS"
40229196,"aluminum hydroxide 40 MG/ML / magnesium hydroxide 40 MG/ML / simethicone 4 MG/ML Oral Suspension [Milantex]",21602628,"UROLOGICALS"
40232612,"hyoscyamine sulfate 0.12 MG / methenamine 81 MG / methylene blue 10.8 MG / phenyl salicylate 32.4 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet",21602628,"UROLOGICALS"
40232613,"hyoscyamine sulfate 0.12 MG / methenamine 81 MG / methylene blue 10.8 MG / phenyl salicylate 32.4 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet [Darpaz]",21602628,"UROLOGICALS"
40234552,"hyoscyamine sulfate 0.12 MG / methenamine 118 MG / methylene blue 10 MG / phenyl salicylate 36 MG / sodium phosphate, monobasic 40.8 MG Oral Capsule",21602628,"UROLOGICALS"
40234553,"hyoscyamine sulfate 0.12 MG / methenamine 118 MG / methylene blue 10 MG / phenyl salicylate 36 MG / sodium phosphate, monobasic 40.8 MG Oral Capsule [Uribel]",21602628,"UROLOGICALS"
40236332,"magnesium hydroxide 400 MG Chewable Tablet [Pedia-Lax Chewable]",21602628,"UROLOGICALS"
40236824,"phenazopyridine hydrochloride 100 MG Oral Tablet",21602628,"UROLOGICALS"
40236828,"phenazopyridine hydrochloride 100 MG Oral Tablet [Pyridium]",21602628,"UROLOGICALS"
40236838,"phenazopyridine hydrochloride 200 MG Delayed Release Oral Tablet",21602628,"UROLOGICALS"
40236839,"phenazopyridine hydrochloride 200 MG Oral Tablet",21602628,"UROLOGICALS"
40236841,"phenazopyridine hydrochloride 200 MG Oral Tablet [Pyridium]",21602628,"UROLOGICALS"
40236843,"phenazopyridine hydrochloride 200 MG Oral Tablet [Viridium]",21602628,"UROLOGICALS"
40236857,"phenazopyridine hydrochloride 95 MG Oral Tablet",21602628,"UROLOGICALS"
40236861,"phenazopyridine hydrochloride 95 MG Oral Tablet [Prodium]",21602628,"UROLOGICALS"
40236873,"phenazopyridine hydrochloride 97.2 MG Oral Tablet",21602628,"UROLOGICALS"
40236877,"phenazopyridine hydrochloride 97.5 MG Oral Tablet",21602628,"UROLOGICALS"
40236879,"phenazopyridine hydrochloride 99.5 MG Oral Tablet",21602628,"UROLOGICALS"
40238269,"flavoxate hydrochloride 100 MG Oral Tablet",21602628,"UROLOGICALS"
42629320,"2 ML papaverine hydrochloride 30 MG/ML Injection",21602628,"UROLOGICALS"
42707552,"oxybutynin 0.03 MG/MG Topical Gel",21602628,"UROLOGICALS"
42709007,"oxybutynin 0.03 MG/MG Topical Gel [Gelnique]",21602628,"UROLOGICALS"
42873440,"24 HR mirabegron 25 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
42873441,"24 HR mirabegron 25 MG Extended Release Oral Tablet [Myrbetriq]",21602628,"UROLOGICALS"
42873444,"24 HR mirabegron 50 MG Extended Release Oral Tablet",21602628,"UROLOGICALS"
42873445,"24 HR mirabegron 50 MG Extended Release Oral Tablet [Myrbetriq]",21602628,"UROLOGICALS"
42900540,"sildenafil 10 MG/ML Oral Suspension",21602628,"UROLOGICALS"
42900541,"sildenafil 10 MG/ML Oral Suspension [Revatio]",21602628,"UROLOGICALS"
42903300,"alprostadil 0.005 MG/ML Prefilled Syringe",21602628,"UROLOGICALS"
44814299,"aluminum hydroxide 200 MG / magnesium hydroxide 200 MG / simethicone 25 MG Chewable Tablet [Almacone]",21602628,"UROLOGICALS"
44814344,"magnesium hydroxide 80 MG/ML Oral Suspension [Magmex]",21602628,"UROLOGICALS"
45892107,"phenazopyridine hydrochloride 97.5 MG Oral Tablet [Azo Urinary Pain Relief]",21602628,"UROLOGICALS"
925104,"dienestrol 0.1 MG/ML Vaginal Cream [Ortho Dienestrol]",21602514,"ESTROGENS"
964318,"{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Jaimiess 91 Day]",21602514,"ESTROGENS"
964319,"{21 (desogestrel 0.15 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 5 (ethinyl estradiol 0.01 MG Oral Tablet) / 2 (inert ingredients 1 MG Oral Tablet) } Pack [Volnea 28 Day]",21602514,"ESTROGENS"
1356327,"estradiol 1 MG / progesterone 100 MG Oral Capsule",21602514,"ESTROGENS"
1356333,"estradiol 1 MG / progesterone 100 MG Oral Capsule [Bijuva]",21602514,"ESTROGENS"
1366730,"{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) } Pack [Lojaimiess 28 Day]",21602514,"ESTROGENS"
1366749,"84 HR estradiol 0.00104 MG/HR Transdermal System [Dotti]",21602514,"ESTROGENS"
1366750,"84 HR estradiol 0.00156 MG/HR Transdermal System [Dotti]",21602514,"ESTROGENS"
1366751,"84 HR estradiol 0.00208 MG/HR Transdermal System [Dotti]",21602514,"ESTROGENS"
1366752,"84 HR estradiol 0.00313 MG/HR Transdermal System [Dotti]",21602514,"ESTROGENS"
1366753,"84 HR estradiol 0.00417 MG/HR Transdermal System [Dotti]",21602514,"ESTROGENS"
1548195,"estradiol",21602514,"ESTROGENS"
1548196,"estradiol 0.001 MG/MG Topical Gel",21602514,"ESTROGENS"
1548197,"estradiol 0.5 MG Oral Tablet",21602514,"ESTROGENS"
1548198,"estradiol 1 MG Oral Tablet",21602514,"ESTROGENS"
1548199,"estradiol 2 MG Oral Tablet",21602514,"ESTROGENS"
1548339,"estradiol 0.0006 MG/MG Topical Gel",21602514,"ESTROGENS"
1548363,"168 HR estradiol 0.00312 MG/HR Transdermal System",21602514,"ESTROGENS"
1548364,"84 HR estradiol 0.00156 MG/HR Transdermal System",21602514,"ESTROGENS"
1548365,"168 HR estradiol 0.00104 MG/HR Transdermal System",21602514,"ESTROGENS"
1548368,"84 HR estradiol 0.00208 MG/HR Transdermal System",21602514,"ESTROGENS"
1548369,"84 HR estradiol 0.00417 MG/HR Transdermal System",21602514,"ESTROGENS"
1548416,"84 HR estradiol 0.00104 MG/HR Transdermal System",21602514,"ESTROGENS"
1548507,"84 HR estradiol 0.00104 MG/HR Transdermal System [Vivelle]",21602514,"ESTROGENS"
1548803,"168 HR estradiol 0.000583 MG/HR Transdermal System",21602514,"ESTROGENS"
1548849,"168 HR estradiol 0.000583 MG/HR Transdermal System [Menostar]",21602514,"ESTROGENS"
1548924,"estradiol 0.0006 MG/MG Topical Gel [Estrogel]",21602514,"ESTROGENS"
1548968,"estradiol 1.53 MG/ACTUAT Topical Spray",21602514,"ESTROGENS"
1548969,"estradiol 1.53 MG/ACTUAT Topical Spray [Evamist]",21602514,"ESTROGENS"
1549024,"90 DAY estradiol 0.00417 MG/HR Vaginal System [Femring]",21602514,"ESTROGENS"
1549103,"estrogens, conjugated (USP) 0.9 MG Oral Tablet",21602514,"ESTROGENS"
1549104,"estrogens, conjugated (USP) 1.25 MG Oral Tablet",21602514,"ESTROGENS"
1549218,"estrogens, conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]",21602514,"ESTROGENS"
1549254,"estrone",21602514,"ESTROGENS"
1549786,"ethinyl estradiol",21602514,"ESTROGENS"
1549788,"ethinyl estradiol 0.02 MG Oral Tablet",21602514,"ESTROGENS"
1549801,"ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet",21602514,"ESTROGENS"
1586810,"synthetic conjugated estrogens, B 0.3 MG Oral Tablet",21602514,"ESTROGENS"
1592636,"{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Simpesse 91 Day]",21602514,"ESTROGENS"
19011874,"estradiol 1 MG Oral Tablet [Climaval]",21602514,"ESTROGENS"
19012531,"estrogens, conjugated (USP) 0.625 MG Oral Tablet [Premarin]",21602514,"ESTROGENS"
19013437,"estradiol 2 MG Oral Tablet [Elleste-Solo]",21602514,"ESTROGENS"
19018977,"estrogens, conjugated (USP) 0.3 MG Oral Tablet",21602514,"ESTROGENS"
19026256,"estrogens, conjugated (USP) 1.25 MG Oral Tablet [Premarin]",21602514,"ESTROGENS"
19030683,"estradiol 0.5 MG Oral Tablet [Estrace]",21602514,"ESTROGENS"
19031775,"estradiol 2 MG Oral Tablet [Estrace]",21602514,"ESTROGENS"
19032347,"estradiol cypionate 5 MG/ML Injectable Solution [Depo-estradiol]",21602514,"ESTROGENS"
19033528,"estradiol valerate 40 MG/ML Injectable Solution [Delestrogen]",21602514,"ESTROGENS"
19038851,"estrogens, conjugated (USP) 0.3 MG Oral Tablet [Premarin]",21602514,"ESTROGENS"
19040158,"estrogens, conjugated (USP) 0.9 MG Oral Tablet [Premarin]",21602514,"ESTROGENS"
19057099,"168 HR estradiol 0.00208 MG/HR Transdermal System",21602514,"ESTROGENS"
19057100,"168 HR estradiol 0.00417 MG/HR Transdermal System",21602514,"ESTROGENS"
19057161,"ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet",21602514,"ESTROGENS"
19076997,"estradiol 0.1 MG/ML Vaginal Cream",21602514,"ESTROGENS"
19076998,"168 HR estradiol 0.00104 MG/HR Transdermal System [Climara]",21602514,"ESTROGENS"
19077000,"84 HR estradiol 0.00156 MG/HR Transdermal System [Vivelle]",21602514,"ESTROGENS"
19077022,"168 HR estradiol 0.00208 MG/HR Transdermal System [Climara]",21602514,"ESTROGENS"
19077026,"168 HR estradiol 0.00312 MG/HR Transdermal System [Climara]",21602514,"ESTROGENS"
19077028,"84 HR estradiol 0.00417 MG/HR Transdermal System [Alora]",21602514,"ESTROGENS"
19077029,"168 HR estradiol 0.00417 MG/HR Transdermal System [Climara]",21602514,"ESTROGENS"
19077051,"84 HR estradiol 0.00417 MG/HR Transdermal System [Vivelle]",21602514,"ESTROGENS"
19077055,"estradiol cypionate 5 MG/ML Injectable Solution",21602514,"ESTROGENS"
19077056,"estradiol valerate 10 MG/ML Injectable Solution",21602514,"ESTROGENS"
19077057,"estradiol valerate 20 MG/ML Injectable Solution",21602514,"ESTROGENS"
19077058,"estradiol valerate 40 MG/ML Injectable Solution",21602514,"ESTROGENS"
19077083,"estrogens, conjugated (USP) 0.625 MG Oral Tablet",21602514,"ESTROGENS"
19077183,"ethinyl estradiol 0.03 MG / levonorgestrel 0.05 MG Oral Tablet",21602514,"ESTROGENS"
19077578,"ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet",21602514,"ESTROGENS"
19102487,"estrogens, conjugated (USP) 0.45 MG Oral Tablet",21602514,"ESTROGENS"
19102520,"168 HR estradiol 0.00156 MG/HR Transdermal System",21602514,"ESTROGENS"
19102521,"168 HR estradiol 0.0025 MG/HR Transdermal System",21602514,"ESTROGENS"
19102815,"estrogens, conjugated (USP) 0.45 MG Oral Tablet [Premarin]",21602514,"ESTROGENS"
19102863,"168 HR estradiol 0.00156 MG/HR Transdermal System [Climara]",21602514,"ESTROGENS"
19121176,"estradiol 0.45 MG Oral Tablet",21602514,"ESTROGENS"
